,OnlyDate,Geographic Zone,Product,Quantity Ordered,Year,Month,Day,DayOfWeek,Lag1,Lag7
0,2019-01-01,Atlanta (GA),AAA Batteries (4-pack),3,2019,1,1,1,,
11,2019-01-01,Seattle (WA),ThinkPad Laptop,2,2019,1,1,1,,
10,2019-01-01,Seattle (WA),AAA Batteries (4-pack),10,2019,1,1,1,,
8,2019-01-01,San Francisco (CA),AAA Batteries (4-pack),18,2019,1,1,1,,
7,2019-01-01,Portland (OR),AAA Batteries (4-pack),1,2019,1,1,1,,
6,2019-01-01,New York City (NY),AAA Batteries (4-pack),3,2019,1,1,1,,
9,2019-01-01,San Francisco (CA),ThinkPad Laptop,2,2019,1,1,1,,
4,2019-01-01,Los Angeles (CA),AAA Batteries (4-pack),8,2019,1,1,1,,
3,2019-01-01,Dallas (TX),AAA Batteries (4-pack),5,2019,1,1,1,,
2,2019-01-01,Boston (MA),AAA Batteries (4-pack),6,2019,1,1,1,,
1,2019-01-01,Austin (TX),AAA Batteries (4-pack),7,2019,1,1,1,,
5,2019-01-01,Los Angeles (CA),ThinkPad Laptop,5,2019,1,1,1,,
21,2019-01-02,Los Angeles (CA),ThinkPad Laptop,2,2019,1,2,2,5.0,
28,2019-01-02,Seattle (WA),AAA Batteries (4-pack),2,2019,1,2,2,10.0,
27,2019-01-02,San Francisco (CA),ThinkPad Laptop,3,2019,1,2,2,2.0,
26,2019-01-02,San Francisco (CA),AAA Batteries (4-pack),5,2019,1,2,2,18.0,
25,2019-01-02,Portland (OR),ThinkPad Laptop,1,2019,1,2,2,,
24,2019-01-02,Portland (OR),AAA Batteries (4-pack),4,2019,1,2,2,1.0,
23,2019-01-02,New York City (NY),ThinkPad Laptop,1,2019,1,2,2,,
20,2019-01-02,Los Angeles (CA),AAA Batteries (4-pack),9,2019,1,2,2,8.0,
22,2019-01-02,New York City (NY),AAA Batteries (4-pack),8,2019,1,2,2,3.0,
18,2019-01-02,Dallas (TX),AAA Batteries (4-pack),3,2019,1,2,2,5.0,
17,2019-01-02,Boston (MA),ThinkPad Laptop,1,2019,1,2,2,,
16,2019-01-02,Boston (MA),AAA Batteries (4-pack),4,2019,1,2,2,6.0,
15,2019-01-02,Austin (TX),ThinkPad Laptop,1,2019,1,2,2,,
14,2019-01-02,Austin (TX),AAA Batteries (4-pack),5,2019,1,2,2,7.0,
13,2019-01-02,Atlanta (GA),ThinkPad Laptop,1,2019,1,2,2,,
12,2019-01-02,Atlanta (GA),AAA Batteries (4-pack),3,2019,1,2,2,3.0,
19,2019-01-02,Dallas (TX),ThinkPad Laptop,1,2019,1,2,2,,
37,2019-01-03,Seattle (WA),AAA Batteries (4-pack),6,2019,1,3,3,2.0,
36,2019-01-03,San Francisco (CA),ThinkPad Laptop,2,2019,1,3,3,3.0,
35,2019-01-03,San Francisco (CA),AAA Batteries (4-pack),12,2019,1,3,3,5.0,
34,2019-01-03,New York City (NY),AAA Batteries (4-pack),6,2019,1,3,3,8.0,
32,2019-01-03,Dallas (TX),AAA Batteries (4-pack),2,2019,1,3,3,3.0,
31,2019-01-03,Boston (MA),AAA Batteries (4-pack),10,2019,1,3,3,4.0,
30,2019-01-03,Austin (TX),ThinkPad Laptop,1,2019,1,3,3,1.0,
29,2019-01-03,Atlanta (GA),AAA Batteries (4-pack),2,2019,1,3,3,3.0,
33,2019-01-03,Los Angeles (CA),AAA Batteries (4-pack),2,2019,1,3,3,9.0,
47,2019-01-04,New York City (NY),ThinkPad Laptop,1,2019,1,4,4,1.0,
52,2019-01-04,Seattle (WA),AAA Batteries (4-pack),3,2019,1,4,4,6.0,
51,2019-01-04,San Francisco (CA),ThinkPad Laptop,2,2019,1,4,4,2.0,
50,2019-01-04,San Francisco (CA),AAA Batteries (4-pack),14,2019,1,4,4,12.0,
49,2019-01-04,Portland (OR),AAA Batteries (4-pack),1,2019,1,4,4,4.0,
48,2019-01-04,Portland (ME),AAA Batteries (4-pack),1,2019,1,4,4,,
45,2019-01-04,Los Angeles (CA),ThinkPad Laptop,1,2019,1,4,4,2.0,
